,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
29,Santa Comba,43.0331,-8.8093,53.01,95,9,1.99,ES,1612747880
30,Ancud,-41.8697,-73.8203,64.0,75,0,2.35,CL,1612747880
31,Panjāb,34.388,67.0233,22.17,84,93,2.01,AF,1612747881
32,Naze,28.3667,129.4833,66.2,59,20,10.36,JP,1612747347
33,Kaeo,-35.1,173.7833,69.31,68,89,9.13,NZ,1612747881
34,George Town,5.4112,100.3354,82.0,78,20,2.3,MY,1612747097
35,Gigmoto,13.7796,124.39,80.24,81,100,17.34,PH,1612747881
36,Dubbo,-32.25,148.6167,78.8,50,0,14.97,AU,1612747882
37,Gympie,-26.1898,152.665,83.52,54,78,9.73,AU,1612747882
38,Saint-Philippe,-21.3585,55.7679,80.6,61,90,6.91,RE,1612747355
39,New Norfolk,-42.7826,147.0587,61.0,64,100,1.99,AU,1612747368
40,Punta Arenas,-53.15,-70.9167,62.6,42,75,8.05,CL,1612747363
41,Hithadhoo,-0.6,73.0833,81.61,72,0,8.16,MV,1612747271
42,Antofagasta,-23.65,-70.4,66.2,77,0,8.05,CL,1612747882
43,Rikitea,-23.1203,-134.9692,77.63,71,47,12.5,PF,1612747352
44,Santo André,-23.6639,-46.5383,66.2,72,75,10.36,BR,1612747725
45,Cayenne,4.9333,-52.3333,80.6,78,90,8.05,GF,1612747321
46,Tavricheskoye,54.5851,73.6395,6.8,72,0,11.18,RU,1612747882
47,Alekseyevsk,57.8406,108.3492,25.21,96,100,13.0,RU,1612747882
48,Mar del Plata,-38.0023,-57.5575,62.01,82,90,13.8,AR,1612747367
49,Alice Springs,-23.7,133.8833,87.8,22,0,13.8,AU,1612747402
50,Zhigansk,66.7697,123.3711,-30.78,78,0,4.21,RU,1612747412
51,Belmonte,-15.8631,-38.8828,78.8,83,40,6.91,BR,1612747362
52,Airai,-8.9266,125.4092,69.62,89,100,3.6,TL,1612747356
53,Malakanagiri,18.35,81.9,60.75,53,0,2.15,IN,1612747883
54,Atuona,-9.8,-139.0333,79.72,73,14,20.71,PF,1612747356
55,Tuatapere,-46.1333,167.6833,68.49,56,100,6.29,NZ,1612747365
56,Klaksvík,62.2266,-6.589,35.6,64,75,14.97,FO,1612747361
57,Port Alfred,-33.5906,26.891,64.0,95,90,1.99,ZA,1612747360
58,Rognan,67.0953,15.3878,23.0,92,78,1.19,NO,1612747883
59,Abu Samrah,35.3029,37.1841,49.51,89,0,6.46,SY,1612747631
60,Mataura,-46.1927,168.8643,73.42,42,100,3.15,NZ,1612747350
61,Tiksi,71.6872,128.8694,-29.27,86,74,5.55,RU,1612747360
62,Lebu,-37.6167,-73.65,58.86,94,100,0.92,CL,1612747363
63,Saint George,37.1041,-113.5841,60.8,14,1,8.05,US,1612747261
64,Esperance,-33.8667,121.9,78.8,53,24,20.71,AU,1612747364
65,Roswell,34.0232,-84.3616,42.01,75,1,5.75,US,1612747728
66,Mustafakemalpaşa,40.0353,28.4117,59.0,55,0,8.05,TR,1612747884
67,Saint Paul Harbor,57.79,-152.4072,35.6,55,1,3.44,US,1612747365
68,Bethel,41.3712,-73.414,28.99,86,90,4.61,US,1612747358
69,Acaraú,-2.8856,-40.12,79.52,83,50,12.71,BR,1612747884
70,Aksu,41.1231,80.2644,25.57,88,0,1.77,CN,1612747885
71,Puerto Ayora,-0.7393,-90.3518,77.0,96,100,1.99,EC,1612747371
72,Lompoc,34.6391,-120.4579,60.01,77,1,5.75,US,1612747356
73,Grindavik,63.8424,-22.4338,33.8,69,0,13.8,IS,1612747373
74,Ribeira Grande,38.5167,-28.7,58.91,79,4,14.23,PT,1612747359
75,Aras,42.5617,-2.356,41.0,93,90,4.61,ES,1612747885
76,Tasiilaq,65.6145,-37.6368,21.2,53,0,4.61,GL,1612747359
77,Hastings,50.8552,0.5729,30.0,83,98,5.01,GB,1612747885
78,Sechura,-5.5569,-80.8222,78.3,64,99,14.45,PE,1612747885
79,Pochutla,15.7432,-96.4661,79.0,78,40,11.5,MX,1612747885
80,Araceli,10.5529,119.9913,80.87,81,100,25.17,PH,1612747885
81,Kapaa,22.0752,-159.319,75.2,50,1,6.91,US,1612747090
82,Laguna,38.421,-121.4238,62.6,39,1,3.44,US,1612747380
83,Caravelas,-17.7125,-39.2481,75.85,92,100,5.86,BR,1612747385
84,Tigzirt,36.8886,4.1198,53.56,74,70,14.43,DZ,1612747886
85,Avera,33.194,-82.5271,39.2,78,1,5.23,US,1612747119
86,Tondano,1.3038,124.9112,84.2,79,40,6.91,ID,1612747886
87,Nador,35.174,-2.9287,57.2,72,0,4.61,MA,1612747886
88,Urubichá,-15.3833,-62.95,77.97,69,93,1.34,BO,1612747886
89,Kaitangata,-46.2817,169.8464,64.99,83,100,7.0,NZ,1612747385
90,Hilo,19.7297,-155.09,78.8,57,75,10.36,US,1612747680
91,Port Elizabeth,-33.918,25.5701,64.4,82,0,10.36,ZA,1612747351
92,Digha,21.6833,87.55,62.2,47,0,8.61,IN,1612747887
93,Alta Floresta,-9.8756,-56.0861,69.93,98,100,1.54,BR,1612747407
94,Cape Town,-33.9258,18.4232,66.99,72,0,12.66,ZA,1612747340
95,Chui,-33.6971,-53.4616,65.89,77,19,7.34,UY,1612747378
96,Constitución,-35.3333,-72.4167,57.87,90,9,6.49,CL,1612747400
97,Kavaratti,10.5669,72.642,81.14,68,96,8.88,IN,1612747151
98,Busselton,-33.65,115.3333,66.0,98,37,3.0,AU,1612747354
99,Kismayo,-0.3582,42.5454,76.78,80,0,15.95,SO,1612747887
100,Saskylakh,71.9167,114.0833,-36.69,79,44,12.21,RU,1612747359
101,Lewistown,40.5992,-77.5714,23.0,54,1,8.05,US,1612747887
102,Tuktoyaktuk,69.4541,-133.0374,-27.4,68,40,9.22,CA,1612747370
103,Bambous Virieux,-20.3428,57.7575,79.0,83,40,5.75,MU,1612747366
104,Itaituba,-4.2761,-55.9836,80.6,83,40,2.59,BR,1612747381
105,Khuzdar,27.7384,66.6434,48.87,39,0,3.29,PK,1612747888
106,Khani,41.9563,42.9566,46.4,93,0,9.22,GE,1612747888
107,Hamilton,39.1834,-84.5333,19.4,42,90,5.75,US,1612747888
108,Nikolskoye,59.7035,30.7861,15.8,86,90,8.95,RU,1612747365
109,Sakaiminato,35.55,133.2333,41.0,87,75,10.36,JP,1612747888
110,Springbok,-29.6643,17.8865,56.75,38,0,3.2,ZA,1612747888
111,San Cristobal,7.7669,-72.225,67.78,86,100,1.14,VE,1612747380
112,Pundaguitan,6.3711,126.1689,80.65,80,100,8.34,PH,1612747889
113,Narsaq,60.9167,-46.05,37.4,30,82,43.73,GL,1612747379
114,Adrar,20.5022,-10.0711,55.62,38,0,9.91,MR,1612747889
115,Manzini,-26.25,31.5,67.77,95,3,2.73,SZ,1612747758
116,Khatanga,71.9667,102.5,-28.08,79,12,11.5,RU,1612747355
117,Lundamo,63.1333,10.3,19.0,85,75,10.36,NO,1612747889
118,Avarua,-21.2078,-159.775,84.2,79,40,10.36,CK,1612747357
119,Novyy Urgal,51.0736,132.5642,-9.63,85,100,1.48,RU,1612747889
120,Pirovskoye,57.6267,92.2658,16.23,94,17,9.22,RU,1612747889
121,East London,-33.0153,27.9116,70.59,81,100,9.24,ZA,1612747389
122,Taltal,-25.4,-70.4833,64.72,74,0,2.44,CL,1612747889
123,Coyhaique,-45.5752,-72.0662,66.2,48,0,8.05,CL,1612747889
124,Brae,60.3964,-1.353,32.31,90,100,10.04,GB,1612747396
125,Husavik,66.0449,-17.3389,30.2,80,75,7.27,IS,1612747359
126,Bubaque,11.2833,-15.8333,79.99,56,0,8.12,GW,1612747890
127,Greece,43.2098,-77.6931,15.01,57,75,19.57,US,1612747890
128,Bilibino,68.0546,166.4372,1.56,80,0,5.97,RU,1612747890
129,Bambanglipuro,-7.95,110.2833,83.57,72,93,4.36,ID,1612747890
130,Olafsvik,64.8945,-23.7142,35.73,80,62,15.82,IS,1612747384
131,Nogliki,51.8333,143.1667,6.98,93,100,23.58,RU,1612747890
132,Skopelos Town,39.1247,23.7247,59.0,53,100,11.01,GR,1612747890
133,Vao,-22.6667,167.4833,78.04,78,92,5.82,NC,1612747413
134,Te Anau,-45.4167,167.7167,67.8,57,100,5.99,NZ,1612747891
135,Kruisfontein,-34.0033,24.7314,63.0,89,100,1.01,ZA,1612747361
136,Lagoa,39.05,-27.9833,57.61,78,0,17.83,PT,1612747391
137,Östersund,63.1792,14.6357,15.8,86,90,6.91,SE,1612747390
138,Pangnirtung,66.1451,-65.7125,23.81,77,0,6.31,CA,1612747891
139,Kurumkan,54.3,110.3,6.13,89,99,1.23,RU,1612747891
140,Mehamn,71.0357,27.8492,23.27,93,100,21.52,NO,1612747375
141,Blackwater,-23.5833,148.8833,92.26,48,3,2.08,AU,1612747891
142,Bluff,-46.6,168.3333,63.75,62,100,7.05,NZ,1612747362
143,Port Lincoln,-34.7333,135.8667,64.22,71,58,16.33,AU,1612747403
144,Arys,42.4252,68.795,46.4,93,40,11.18,KZ,1612747892
145,Nakonde,-9.3421,32.745,61.03,100,100,1.21,ZM,1612747892
146,Atar,20.5169,-13.0499,57.81,40,0,8.95,MR,1612747411
147,Lamar,33.6668,-95.5836,39.99,87,1,11.5,US,1612747892
148,Barrow,71.2906,-156.7887,-27.4,68,1,9.22,US,1612747190
149,Natchitoches,31.7668,-93.1335,46.4,76,90,5.75,US,1612747892
150,Dandong,40.1292,124.3947,19.11,79,0,9.13,CN,1612747892
151,Mezen',65.8522,44.24,-21.24,87,40,4.85,RU,1612747892
152,Harper,4.375,-7.7169,79.2,89,0,6.55,LR,1612747378
153,Namatanai,-3.6667,152.4333,85.66,68,45,5.7,PG,1612747368
154,Grand Gaube,-20.0064,57.6608,79.0,82,36,1.99,MU,1612747374
155,Lata,40.1629,-8.3327,55.0,91,96,8.01,PT,1612747392
156,Ténenkou,14.4572,-4.9169,71.53,22,94,11.97,ML,1612747893
157,Loandjili,-4.7561,11.8578,80.6,89,40,3.44,CG,1612747893
158,Saquarema,-22.92,-42.5103,71.6,83,75,4.61,BR,1612747893
159,Manbij,36.5281,37.9549,41.0,93,59,1.14,SY,1612747893
160,At-Bashi,41.1702,75.8106,25.11,81,91,1.88,KG,1612747893
161,Bredasdorp,-34.5322,20.0403,57.2,82,8,5.75,ZA,1612747362
162,Pevek,69.7008,170.3133,-5.1,82,0,2.57,RU,1612747390
163,Flinders,-34.5833,150.8552,73.0,69,54,5.01,AU,1612747372
164,Hashtrūd,37.4779,47.0508,31.84,92,0,1.92,IR,1612747893
165,Nouadhibou,20.931,-17.0347,62.6,77,0,19.57,MR,1612747893
166,Nhamundá,-2.1861,-56.7131,77.04,84,49,0.69,BR,1612747893
167,Ponta do Sol,32.6667,-17.1,57.99,74,70,5.01,PT,1612747404
168,Cuamba,-14.8031,36.5372,69.15,96,88,1.01,MZ,1612747894
169,Lukaya,-0.1489,31.8748,71.6,64,20,9.22,UG,1612747894
170,Petrovsk-Zabaykal'skiy,51.273,108.843,6.22,90,80,2.46,RU,1612747894
171,Katete,-0.7818,29.7544,63.88,66,100,2.53,UG,1612747894
172,Souillac,-20.5167,57.5167,78.8,83,40,5.75,MU,1612747360
173,Nishihara,26.1842,127.7558,68.0,48,20,11.5,JP,1612747894
174,Sola,-13.8833,167.55,89.6,70,75,3.31,VU,1612747383
175,Bellary,15.15,76.9333,64.18,61,70,4.05,IN,1612747894
176,Port Blair,11.6667,92.75,78.48,78,27,12.64,IN,1612747359
177,São Filipe,14.8961,-24.4956,69.42,75,100,12.21,CV,1612747895
178,Geraldton,-28.7667,114.6,73.4,68,75,14.97,AU,1612747382
179,Clyde River,70.4692,-68.5914,-5.8,84,40,11.5,CA,1612747374
180,Karratha,-20.7377,116.8463,81.9,63,1,12.19,AU,1612747615
181,Pisco,-13.7,-76.2167,71.6,83,75,8.05,PE,1612747252
182,Port Pirie,-33.1833,138.0167,71.6,53,0,8.05,AU,1612747672
183,Nara,34.6851,135.8049,50.0,61,40,5.75,JP,1612747398
184,Hermanus,-34.4187,19.2345,55.0,91,0,1.57,ZA,1612747358
185,Elliot,-31.3333,27.85,60.17,95,99,2.39,ZA,1612747895
186,Zwedru,6.0667,-8.1281,73.71,97,45,3.31,LR,1612747895
187,Bukachacha,52.9833,116.9167,-7.42,85,68,2.21,RU,1612747896
188,Burgeo,47.6167,-57.6152,27.3,88,100,8.34,CA,1612747896
189,Sioux Lookout,50.1001,-91.917,-18.4,63,1,4.61,CA,1612747370
190,Talnakh,69.4865,88.3972,-17.81,75,20,2.95,RU,1612747358
191,Kollam,8.8833,76.6,78.8,69,20,11.63,IN,1612747896
192,Gayny,60.3071,54.3241,-19.08,87,100,8.01,RU,1612747896
193,Provideniya,64.3833,-173.3,-0.17,83,100,17.87,RU,1612747350
194,Torbay,47.6666,-52.7314,30.0,69,20,32.21,CA,1612747351
195,Bay Roberts,47.5999,-53.2648,30.0,73,100,4.0,CA,1612747896
196,Jalu,29.0331,21.5482,67.41,25,100,18.75,LY,1612747897
197,Belaya Gora,68.5333,146.4167,-21.64,86,100,3.18,RU,1612747897
198,Charleston,32.7766,-79.9309,42.8,93,1,8.03,US,1612747813
199,São João da Barra,-21.6403,-41.0511,71.28,95,100,7.2,BR,1612747070
200,Yichang,30.7144,111.2847,48.0,73,100,2.1,CN,1612747897
201,Safi,32.2994,-9.2372,57.6,75,0,7.67,MA,1612747897
202,Sokolo,14.7328,-6.1219,69.49,22,100,9.66,ML,1612747897
203,Zhezkazgan,47.8043,67.7144,31.82,99,100,25.7,KZ,1612747897
204,Markova,48.6758,24.4138,26.15,97,100,4.88,UA,1612747897
205,Maputo,-25.9653,32.5892,78.01,88,20,3.44,MZ,1612747897
206,Obihiro,42.9172,143.2044,6.8,92,20,1.14,JP,1612747897
207,Barcelos,41.5388,-8.6151,51.8,87,40,4.61,PT,1612747837
208,Ilhabela,-23.7781,-45.3581,72.86,71,56,2.95,BR,1612747684
209,Samarai,-10.6167,150.6667,85.59,69,80,1.03,PG,1612747847
210,Marechal Cândido Rondon,-24.5561,-54.0567,67.98,84,0,3.18,BR,1612747898
211,Birao,10.2849,22.7882,58.51,32,90,6.13,CF,1612747898
212,Kiryat Gat,31.61,34.7642,54.0,84,0,2.77,IL,1612747399
213,Chokurdakh,70.6333,147.9167,-15.34,88,100,7.94,RU,1612747373
214,Khandyga,62.6667,135.6,-27.31,83,100,1.99,RU,1612747402
215,Ayan,56.45,138.1667,-3.41,84,100,21.77,RU,1612747898
216,Rockland,41.1668,-74.0496,28.99,85,49,14.07,US,1612747898
217,Sokoto,13.0609,5.239,68.54,19,63,8.72,NG,1612747899
218,Hofn,64.2539,-15.2082,36.48,86,100,14.43,IS,1612747899
219,Wajid,3.8093,43.2471,70.97,71,87,21.14,SO,1612747899
220,Great Falls,47.5002,-111.3008,-9.0,70,75,6.91,US,1612747649
221,Muravlenko,63.7898,74.523,-6.12,89,0,13.58,RU,1612747123
222,Boké,10.9409,-14.2967,67.17,78,0,1.66,GN,1612747899
223,Lüderitz,-26.6481,15.1594,67.03,55,0,28.48,NA,1612747360
224,Kutum,14.2,24.6667,50.32,43,0,8.86,SD,1612747899
225,Nānākuli,21.3906,-158.1547,78.8,44,1,6.91,US,1612747899
226,Noumea,-22.2763,166.4572,86.0,70,20,9.22,NC,1612747899
227,Eldoret,0.5204,35.2699,55.4,88,75,1.14,KE,1612747890
228,Guangyuan,32.442,105.823,54.99,38,0,0.98,CN,1612747900
229,Rumford,44.5537,-70.5509,21.99,92,100,3.47,US,1612747664
230,Mogadishu,2.0371,45.3438,77.25,80,0,22.62,SO,1612747370
231,Monrovia,6.3005,-10.7969,75.2,94,20,6.24,LR,1612747900
232,Sotik Post,-0.7813,35.3416,58.14,91,100,2.19,KE,1612747900
233,Agirish,61.9247,63.0231,-14.64,89,100,7.63,RU,1612747900
234,Iquique,-20.2208,-70.1431,73.4,53,0,16.11,CL,1612747383
235,Mnogovershinnyy,53.9353,139.9242,-1.89,92,100,12.19,RU,1612747406
236,Loreto,22.2667,-101.9667,63.37,29,95,8.66,MX,1612747900
237,Coruripe,-10.1256,-36.1756,77.77,81,100,11.48,BR,1612747901
238,Lexington Park,38.2668,-76.4538,37.4,70,1,12.66,US,1612747901
239,Terrace,54.5163,-128.6035,21.2,68,20,11.5,CA,1612747901
240,São Gabriel da Cachoeira,-0.1303,-67.0892,74.75,94,100,0.81,BR,1612747901
241,Tsabong,-26.0217,22.401,72.36,75,0,8.37,BW,1612747901
242,Yinchuan,38.4681,106.2731,32.92,75,54,2.73,CN,1612747901
243,Kahului,20.8947,-156.47,77.0,53,20,13.8,US,1612747362
244,Illela,13.7292,5.2975,69.67,18,81,8.77,NG,1612747901
245,Tautira,-17.7333,-149.15,86.0,70,40,12.66,PF,1612747901
246,Arona,28.0996,-16.681,63.0,72,40,5.75,ES,1612747901
247,Fort Nelson,58.8053,-122.7002,-16.6,69,90,10.36,CA,1612747373
248,Lábrea,-7.2586,-64.7981,76.6,93,100,1.57,BR,1612747902
249,Reconquista,-29.15,-59.65,71.91,50,1,6.4,AR,1612747873
250,Bintulu,3.1667,113.0333,77.0,100,40,2.3,MY,1612747902
251,Manitouwadge,49.1215,-85.8403,-2.2,78,56,3.44,CA,1612747902
252,Salalah,17.0151,54.0924,69.8,73,20,5.75,OM,1612747392
253,Chyorny Yar,48.0624,46.1091,15.08,79,67,8.21,RU,1612747902
254,Najrān,17.4924,44.1277,59.0,51,20,2.62,SA,1612747391
255,Kiunga,-6.1219,141.2906,92.21,51,91,3.42,PG,1612747902
256,Paso de los Toros,-32.8167,-56.5167,72.75,51,0,3.06,UY,1612747902
257,San Patricio,28.017,-97.5169,63.0,67,75,12.66,US,1612747256
258,Doha,25.2867,51.5333,66.2,72,0,8.05,QA,1612747903
259,Pleshanovo,52.8333,53.4833,-9.63,89,100,13.42,RU,1612747903
260,Flora,38.6689,-88.4856,16.0,67,90,8.05,US,1612747903
261,Turaif,31.6725,38.6637,41.0,100,0,6.91,SA,1612747903
262,Batemans Bay,-35.7167,150.1833,68.0,68,19,4.0,AU,1612747229
263,Bulgan,48.8125,103.5347,13.21,83,3,4.14,MN,1612747903
264,Grand-Santi,4.25,-54.3833,72.93,97,100,2.91,GF,1612747903
265,Mendoza,-32.8908,-68.8272,73.4,68,75,10.36,AR,1612747903
266,Fairmount,43.0473,-76.2385,19.4,53,75,23.02,US,1612747904
267,Leningradskiy,69.3833,178.4167,-15.14,85,0,7.96,RU,1612747361
268,Suntar,62.1444,117.6319,1.09,93,97,6.76,RU,1612747904
269,Vila do Maio,15.1333,-23.2167,68.0,68,75,19.57,CV,1612747904
270,Qaanaaq,77.484,-69.3632,15.8,85,100,6.4,GL,1612747368
271,Valparaíso,-33.0393,-71.6273,62.6,77,0,6.91,CL,1612747350
272,Hailar,49.2,119.7,-13.52,88,5,6.51,CN,1612747735
273,Ust'-Omchug,61.15,149.6333,-0.63,88,99,14.92,RU,1612747904
274,Mīzan Teferī,6.9833,35.5833,62.33,36,80,1.81,ET,1612747904
275,Carnarvon,-24.8667,113.6333,80.6,100,40,13.8,AU,1612747352
276,Port Macquarie,-31.4333,152.9167,79.0,88,75,10.36,AU,1612747356
277,Longyearbyen,78.2186,15.6401,8.6,56,0,16.11,SJ,1612747364
278,Codrington,-38.2667,141.9667,60.26,67,100,13.96,AU,1612747369
279,City of San Pedro,14.35,121.0167,86.0,69,40,5.75,PH,1612747905
280,Vostok,46.4856,135.8833,-7.8,89,100,4.18,RU,1612747396
281,Fortuna,40.5982,-124.1573,50.0,93,1,8.05,US,1612747381
282,Hambantota,6.1241,81.1185,73.4,100,0,2.3,LK,1612747375
283,Yerofey Pavlovich,53.9667,121.9667,-8.57,84,95,3.38,RU,1612747905
284,Kirakira,-10.4544,161.9205,85.24,72,10,9.19,SB,1612747905
285,Payo,-3.7508,103.6372,76.33,89,87,2.44,ID,1612747362
286,Rantepao,-2.9701,119.8978,82.44,57,44,1.83,ID,1612747905
287,Bougouni,11.417,-7.479,73.11,21,20,8.3,ML,1612747862
288,Perth,-31.9333,115.8333,71.01,78,40,17.27,AU,1612747632
289,Douala,4.0483,9.7043,80.6,100,75,1.99,CM,1612747906
290,Morgan City,29.6994,-91.2068,51.8,87,1,6.91,US,1612747906
291,Lesnoy,57.6198,63.0784,-5.15,90,100,9.91,RU,1612747906
292,Auburn,47.3073,-122.2284,44.01,74,85,4.0,US,1612747835
293,Djibouti,11.5,42.5,75.2,78,75,8.66,DJ,1612747364
294,Kropotkin,45.4375,40.5756,25.39,98,100,8.37,RU,1612747410
295,Bengkulu,-3.8004,102.2655,78.64,74,95,4.56,ID,1612747377
296,Virtsu,58.5716,23.5115,14.0,71,29,1.01,EE,1612747906
297,Utete,-7.986,38.758,74.12,96,100,2.13,TZ,1612747906
298,Wahlern,46.8281,7.3532,36.0,93,75,1.14,CH,1612747907
299,Sørland,67.667,12.6934,34.21,85,93,8.08,NO,1612747412
300,Novo Aripuanã,-5.1206,-60.3797,75.38,95,100,1.86,BR,1612747907
301,Yangi Marg`ilon,40.4272,71.7189,39.2,81,79,2.3,UZ,1612747404
302,Gurupi,-11.7292,-49.0686,68.88,98,100,3.33,BR,1612747907
303,Marawi,7.9986,124.2928,77.0,92,100,4.0,PH,1612747405
304,Pucallpa,-8.3791,-74.5539,84.2,70,40,3.44,PE,1612747907
305,Kamenka,51.3223,42.7678,-7.46,91,60,8.84,RU,1612747076
306,Matara,5.9485,80.5353,74.26,90,18,4.36,LK,1612747383
307,Fairbanks,64.8378,-147.7164,-11.0,76,1,2.51,US,1612747351
308,Hobyo,5.3505,48.5268,76.82,82,16,16.69,SO,1612747391
309,Yarkovo,57.4028,67.0786,-7.02,88,0,8.84,RU,1612747908
310,Mahébourg,-20.4081,57.7,78.8,83,40,5.75,MU,1612747357
311,Upernavik,72.7868,-56.1549,18.14,79,43,4.59,GL,1612747357
312,Praia,14.9215,-23.5087,68.0,68,75,19.57,CV,1612747908
313,Lima,-12.0432,-77.0282,77.0,78,0,11.5,PE,1612747611
314,Arlit,18.7369,7.3853,66.15,20,100,3.98,NE,1612747908
315,Zhangjiakou,40.81,114.8794,19.78,76,0,3.96,CN,1612747702
316,Buckeye,33.3703,-112.5838,68.0,21,38,4.61,US,1612747800
317,Takoradze,4.8845,-1.7554,79.77,86,69,9.53,GH,1612747400
318,Portland,45.5234,-122.6762,46.4,61,90,8.05,US,1612747347
319,Ryōtsu-minato,38.0833,138.4333,30.2,80,75,20.71,JP,1612747407
320,Port Hardy,50.6996,-127.4199,39.2,81,75,8.05,CA,1612747131
321,Harlingen,26.1906,-97.6961,68.0,72,1,9.22,US,1612747840
322,La Santisima Trinidad,-14.8333,-64.9,76.44,85,72,2.46,BO,1612747909
323,Tifton,31.4505,-83.5085,44.01,93,1,5.23,US,1612747909
324,San Quintín,30.4833,-115.95,61.54,66,0,8.75,MX,1612747315
325,Honningsvåg,70.9821,25.9704,26.22,91,100,24.18,NO,1612747909
326,Coahuayana Viejo,18.7333,-103.6833,69.8,83,1,3.2,MX,1612747358
327,Margate,51.3813,1.3862,32.0,76,100,8.01,GB,1612747364
328,Aykhal,66.0,111.5,-29.04,82,66,4.43,RU,1612747364
329,Winslow,35.0242,-110.6974,59.0,10,1,4.61,US,1612747909
330,Udachny,66.4167,112.4,-28.59,83,87,5.35,RU,1612747364
331,Cairns,-16.9167,145.7667,91.99,79,86,6.91,AU,1612747910
332,Neyshabur,36.2133,58.7958,47.91,53,100,7.78,IR,1612747910
333,Beyneu,45.3167,55.2,22.82,84,100,13.6,KZ,1612747910
334,Garoowe,8.4054,48.4845,65.52,91,27,7.02,SO,1612747910
335,Shushenskoye,53.325,91.9356,8.6,85,100,5.37,RU,1612747910
336,Okhotsk,59.3833,143.3,17.51,89,100,21.5,RU,1612747910
337,Rzhev,56.2624,34.3282,-0.18,93,47,6.02,RU,1612747910
338,Belyy Yar,53.6039,91.3903,8.6,85,100,2.93,RU,1612747910
339,Asău,46.4333,26.4,30.0,73,78,0.38,RO,1612747377
340,Yerbogachën,61.2767,108.0108,23.25,98,100,5.14,RU,1612747384
341,Bathsheba,13.2167,-59.5167,77.0,69,20,17.27,BB,1612747791
342,Vallenar,-28.5708,-70.7581,62.42,65,0,2.46,CL,1612747385
343,Karaton,-6.3424,106.1045,84.0,83,90,8.05,ID,1612747911
344,Tabas,33.5959,56.9244,52.32,55,18,2.1,IR,1612747408
345,Manggar,-2.8833,108.2667,83.01,73,100,12.8,ID,1612747911
346,Eureka,40.8021,-124.1637,52.0,77,100,4.0,US,1612747358
347,Potiskum,11.7091,11.0694,65.26,25,84,8.08,NG,1612747911
348,Saldanha,-33.0117,17.9442,62.6,72,0,9.22,ZA,1612747394
349,Roald,62.5833,6.1333,23.0,54,0,13.8,NO,1612747911
350,Auki,-8.7676,160.7034,85.08,72,1,7.87,SB,1612747911
351,Carauari,-4.8828,-66.8958,75.97,94,100,0.34,BR,1612747911
352,Mayo,38.8876,-76.5119,35.6,48,1,13.8,US,1612747391
353,Klæbu,63.2976,10.4826,19.0,85,75,10.36,NO,1612747912
354,Maicao,11.3832,-72.2432,77.13,73,71,8.48,CO,1612747912
355,Bordighera,43.7806,7.6645,48.2,53,0,11.5,IT,1612747912
356,Beringovskiy,63.05,179.3167,5.43,94,100,16.08,RU,1612747375
357,Tefé,-3.3542,-64.7114,76.53,91,100,2.26,BR,1612747912
